Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Frullania dilatata voucher A. Sousa & J. Bechteler 13 (M) retrotransposon Ty3 gypsy integrase gene, partial cds",Frullania dilatata,106129,99.6,99.6,97%,1e-16,74.83,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT512479.1?report=genbank&log$=nucltop&blast_rank=1&RID=UUVK1VT1013"",""MT512479.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-2 DNA, chromosome: U",Marchantia polymorpha subsp. ruderalis,1480154,90.6,1012,98%,7e-14,73.94,4523046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024465.1?report=genbank&log$=nucltop&blast_rank=2&RID=UUVK1VT1013"",""AP024465.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: V",Marchantia polymorpha subsp. ruderalis,1480154,86.9,747,98%,9e-13,73.65,7543715,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019874.1?report=genbank&log$=nucltop&blast_rank=3&RID=UUVK1VT1013"",""AP019874.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 3",Marchantia polymorpha subsp. ruderalis,1480154,84.2,489,98%,3e-12,72.60,27142341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019868.1?report=genbank&log$=nucltop&blast_rank=4&RID=UUVK1VT1013"",""AP019868.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 4",Marchantia polymorpha subsp. ruderalis,1480154,77.9,628,98%,4e-10,72.30,26988051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019869.1?report=genbank&log$=nucltop&blast_rank=5&RID=UUVK1VT1013"",""AP019869.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 6",Marchantia polymorpha subsp. ruderalis,1480154,76.1,791,98%,2e-09,71.14,23861560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019871.1?report=genbank&log$=nucltop&blast_rank=6&RID=UUVK1VT1013"",""AP019871.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 8",Marchantia polymorpha subsp. ruderalis,1480154,73.4,199,96%,5e-09,71.62,21314552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019873.1?report=genbank&log$=nucltop&blast_rank=7&RID=UUVK1VT1013"",""AP019873.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 2",Marchantia polymorpha subsp. ruderalis,1480154,70.7,684,98%,7e-08,71.81,29643427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019867.1?report=genbank&log$=nucltop&blast_rank=8&RID=UUVK1VT1013"",""AP019867.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 7",Marchantia polymorpha subsp. ruderalis,1480154,68.9,712,98%,2e-07,70.95,21963529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019872.1?report=genbank&log$=nucltop&blast_rank=9&RID=UUVK1VT1013"",""AP019872.1"")"
"PREDICTED: Manihot esculenta uncharacterized LOC122722302 (LOC122722302), mRNA",Manihot esculenta,3983,68.9,68.9,33%,2e-07,90.00,1282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043952785.1?report=genbank&log$=nucltop&blast_rank=10&RID=UUVK1VT1013"",""XM_043952785.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_171",Marchantia polymorpha subsp. ruderalis,1480154,64.4,64.4,96%,3e-06,70.27,5173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020036.1?report=genbank&log$=nucltop&blast_rank=11&RID=UUVK1VT1013"",""AP020036.1"")"
Gossypium turneri isolate D10-2 chromosome D10_12,Gossypium turneri,34284,62.6,166,32%,1e-05,87.76,54556719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032582.1?report=genbank&log$=nucltop&blast_rank=12&RID=UUVK1VT1013"",""CP032582.1"")"
Gossypium turneri isolate D10-2 chromosome D10_11,Gossypium turneri,34284,62.6,62.6,32%,1e-05,87.76,67704245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032581.1?report=genbank&log$=nucltop&blast_rank=13&RID=UUVK1VT1013"",""CP032581.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_12,Gossypium raimondii,29730,62.6,62.6,32%,1e-05,87.76,57421043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032564.1?report=genbank&log$=nucltop&blast_rank=14&RID=UUVK1VT1013"",""CP032564.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_04,Gossypium raimondii,29730,61.7,61.7,74%,3e-05,75.21,49886343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032556.1?report=genbank&log$=nucltop&blast_rank=15&RID=UUVK1VT1013"",""CP032556.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-19,Lupinus angustifolius,3871,61.7,61.7,40%,3e-05,81.97,21811712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023131.1?report=genbank&log$=nucltop&blast_rank=16&RID=UUVK1VT1013"",""CP023131.1"")"
Gossypium turneri isolate D10-2 chromosome D10_08,Gossypium turneri,34284,60.8,60.8,43%,3e-05,82.09,61617684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032578.1?report=genbank&log$=nucltop&blast_rank=17&RID=UUVK1VT1013"",""CP032578.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-14,Lupinus angustifolius,3871,60.8,117,88%,3e-05,69.92,21959816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023126.1?report=genbank&log$=nucltop&blast_rank=18&RID=UUVK1VT1013"",""CP023126.1"")"
