Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Frullania dilatata voucher A. Sousa & J. Bechteler 13 (M) retrotransposon Ty3 gypsy integrase gene, partial cds",Frullania dilatata,106129,99.6,99.6,97%,1e-16,74.83,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT512479.1?report=genbank&log$=nucltop&blast_rank=1&RID=UUVM24FD016"",""MT512479.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: V",Marchantia polymorpha subsp. ruderalis,1480154,93.3,899,98%,6e-15,74.47,7543715,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019874.1?report=genbank&log$=nucltop&blast_rank=2&RID=UUVM24FD016"",""AP019874.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-2 DNA, chromosome: U",Marchantia polymorpha subsp. ruderalis,1480154,90.6,1227,98%,7e-14,73.94,4523046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024465.1?report=genbank&log$=nucltop&blast_rank=3&RID=UUVM24FD016"",""AP024465.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 3",Marchantia polymorpha subsp. ruderalis,1480154,84.2,213,98%,3e-12,72.60,27142341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019868.1?report=genbank&log$=nucltop&blast_rank=4&RID=UUVM24FD016"",""AP019868.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 4",Marchantia polymorpha subsp. ruderalis,1480154,77.9,145,96%,4e-10,72.30,26988051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019869.1?report=genbank&log$=nucltop&blast_rank=5&RID=UUVM24FD016"",""AP019869.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 8",Marchantia polymorpha subsp. ruderalis,1480154,73.4,202,96%,5e-09,71.62,21314552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019873.1?report=genbank&log$=nucltop&blast_rank=6&RID=UUVM24FD016"",""AP019873.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 5",Marchantia polymorpha subsp. ruderalis,1480154,72.5,72.5,94%,2e-08,71.13,26794015,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019870.1?report=genbank&log$=nucltop&blast_rank=7&RID=UUVM24FD016"",""AP019870.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 2",Marchantia polymorpha subsp. ruderalis,1480154,70.7,247,98%,7e-08,71.81,29643427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019867.1?report=genbank&log$=nucltop&blast_rank=8&RID=UUVM24FD016"",""AP019867.1"")"
"PREDICTED: Manihot esculenta uncharacterized LOC122722302 (LOC122722302), mRNA",Manihot esculenta,3983,68.9,68.9,33%,2e-07,90.00,1282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043952785.1?report=genbank&log$=nucltop&blast_rank=9&RID=UUVM24FD016"",""XM_043952785.1"")"
"(106631 bp), complete sequence",Ceratodon purpureus,3225,68.0,68.0,90%,2e-07,70.80,106631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AC279735.1?report=genbank&log$=nucltop&blast_rank=10&RID=UUVM24FD016"",""AC279735.1"")"
"Glycine max strain Williams 82 clone GM_WBb0032L23, complete sequence",Glycine max,3847,63.5,63.5,78%,1e-05,72.27,149341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AC235243.1?report=genbank&log$=nucltop&blast_rank=11&RID=UUVM24FD016"",""AC235243.1"")"
Gossypium turneri isolate D10-2 chromosome D10_12,Gossypium turneri,34284,62.6,166,32%,1e-05,87.76,54556719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032582.1?report=genbank&log$=nucltop&blast_rank=12&RID=UUVM24FD016"",""CP032582.1"")"
Gossypium turneri isolate D10-2 chromosome D10_11,Gossypium turneri,34284,62.6,62.6,32%,1e-05,87.76,67704245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032581.1?report=genbank&log$=nucltop&blast_rank=13&RID=UUVM24FD016"",""CP032581.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_12,Gossypium raimondii,29730,62.6,118,32%,1e-05,87.76,57421043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032564.1?report=genbank&log$=nucltop&blast_rank=14&RID=UUVM24FD016"",""CP032564.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_04,Gossypium raimondii,29730,61.7,113,74%,3e-05,75.21,49886343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032556.1?report=genbank&log$=nucltop&blast_rank=15&RID=UUVM24FD016"",""CP032556.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-19,Lupinus angustifolius,3871,61.7,61.7,40%,3e-05,81.97,21811712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023131.1?report=genbank&log$=nucltop&blast_rank=16&RID=UUVM24FD016"",""CP023131.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 7",Marchantia polymorpha subsp. ruderalis,1480154,60.8,60.8,98%,3e-05,68.92,21963529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019872.1?report=genbank&log$=nucltop&blast_rank=17&RID=UUVM24FD016"",""AP019872.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-14,Lupinus angustifolius,3871,60.8,117,88%,3e-05,69.92,21959816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023126.1?report=genbank&log$=nucltop&blast_rank=18&RID=UUVM24FD016"",""CP023126.1"")"
Gossypium arboreum cultivar Shixiya1 chromosome 12,Gossypium arboreum,29729,59.9,59.9,29%,1e-04,88.89,94637005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP053561.1?report=genbank&log$=nucltop&blast_rank=19&RID=UUVM24FD016"",""CP053561.1"")"
Gossypioides kirkii chromosome KI_2_4,Gossypioides kirkii,47615,58.1,58.1,32%,4e-04,85.71,41238926,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032245.1?report=genbank&log$=nucltop&blast_rank=20&RID=UUVM24FD016"",""CP032245.1"")"
"Oryza grandiglumis isolate ICD7 gypsy-like retrotransposon integrase (int) gene, partial cds",Oryza grandiglumis,29690,58.1,58.1,42%,4e-04,79.69,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF244759.1?report=genbank&log$=nucltop&blast_rank=21&RID=UUVM24FD016"",""AF244759.1"")"
"Oryza grandiglumis isolate ICD6 gypsy-like retrotransposon integrase (int) gene, partial cds",Oryza grandiglumis,29690,58.1,58.1,42%,4e-04,79.69,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF244758.1?report=genbank&log$=nucltop&blast_rank=22&RID=UUVM24FD016"",""AF244758.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 6",Marchantia polymorpha subsp. ruderalis,1480154,57.2,108,82%,4e-04,78.79,23861560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019871.1?report=genbank&log$=nucltop&blast_rank=23&RID=UUVM24FD016"",""AP019871.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 1",Marchantia polymorpha subsp. ruderalis,1480154,57.2,161,96%,4e-04,70.37,30584173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019866.1?report=genbank&log$=nucltop&blast_rank=24&RID=UUVM24FD016"",""AP019866.1"")"
"PREDICTED: Selaginella moellendorffii uncharacterized LOC112342879 (LOC112342879), mRNA",Selaginella moellendorffii,88036,57.2,57.2,37%,4e-04,82.14,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_024665453.1?report=genbank&log$=nucltop&blast_rank=25&RID=UUVM24FD016"",""XM_024665453.1"")"
Gossypium turneri isolate D10-2 chromosome D10_04,Gossypium turneri,34284,56.3,159,31%,0.001,85.42,52521518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032574.1?report=genbank&log$=nucltop&blast_rank=26&RID=UUVM24FD016"",""CP032574.1"")"
Gossypium turneri isolate D10-2 chromosome D10_03,Gossypium turneri,34284,56.3,163,98%,0.001,72.88,64909839,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032573.1?report=genbank&log$=nucltop&blast_rank=27&RID=UUVM24FD016"",""CP032573.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_09,Gossypium raimondii,29730,56.3,111,43%,0.001,85.42,43735892,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032561.1?report=genbank&log$=nucltop&blast_rank=28&RID=UUVM24FD016"",""CP032561.1"")"
Gossypium turneri isolate D10-2 chromosome D10_02,Gossypium turneri,34284,55.4,158,98%,0.001,68.42,50570303,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032572.1?report=genbank&log$=nucltop&blast_rank=29&RID=UUVM24FD016"",""CP032572.1"")"
Arachis hypogaea cultivar Shitouqi chromosome A02,Arachis hypogaea,3818,55.4,55.4,84%,0.001,70.54,99791824,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP030984.1?report=genbank&log$=nucltop&blast_rank=30&RID=UUVM24FD016"",""CP030984.1"")"
Gossypium hirsutum cultivar TM1 chromosome A12,Gossypium hirsutum,3635,55.4,107,32%,0.001,86.67,26685906,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023745.1?report=genbank&log$=nucltop&blast_rank=31&RID=UUVM24FD016"",""CP023745.1"")"
"PREDICTED: Hibiscus syriacus uncharacterized LOC120177079 (LOC120177079), mRNA",Hibiscus syriacus,106335,55.4,55.4,75%,0.001,70.94,684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039183326.1?report=genbank&log$=nucltop&blast_rank=32&RID=UUVM24FD016"",""XM_039183326.1"")"
