Sample,GC_content,Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
IG008,low,"Frullania dilatata voucher A. Sousa & J. Bechteler 13 (M) retrotransposon Ty3 gypsy integrase gene, partial cds",Frullania dilatata,106129,99.6,99.6,97%,1.00E-16,74.83,779,MT512479.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: V",Marchantia polymorpha subsp. ruderalis,1480154,93.3,899,98%,6.00E-15,74.47,7543715,AP019874.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-2 DNA, chromosome: U",Marchantia polymorpha subsp. ruderalis,1480154,90.6,1227,98%,7.00E-14,73.94,4523046,AP024465.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 3",Marchantia polymorpha subsp. ruderalis,1480154,84.2,213,98%,3.00E-12,72.6,27142341,AP019868.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 4",Marchantia polymorpha subsp. ruderalis,1480154,77.9,145,96%,4.00E-10,72.3,26988051,AP019869.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 8",Marchantia polymorpha subsp. ruderalis,1480154,73.4,202,96%,5.00E-09,71.62,21314552,AP019873.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 5",Marchantia polymorpha subsp. ruderalis,1480154,72.5,72.5,94%,2.00E-08,71.13,26794015,AP019870.1
IG008,low,"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 2",Marchantia polymorpha subsp. ruderalis,1480154,70.7,247,98%,7.00E-08,71.81,29643427,AP019867.1
IG008,low,"PREDICTED: Manihot esculenta uncharacterized LOC122722302 (LOC122722302), mRNA",Manihot esculenta,3983,68.9,68.9,33%,2.00E-07,90,1282,XM_043952785.1
IG008,low,"(106631 bp), complete sequence",Ceratodon purpureus,3225,68,68,90%,2.00E-07,70.8,106631,AC279735.1
IG008,low,"Glycine max strain Williams 82 clone GM_WBb0032L23, complete sequence",Glycine max,3847,63.5,63.5,78%,1.00E-05,72.27,149341,AC235243.1
